Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10032561421394348,0.10076178832950418,0.10032561421394348,0.10032561421394348,469033600,0.0,0.0
1980-12-15,0.09552774056289838,0.09552774056289838,0.09509156644344331,0.0950915664434433,175884800,0.0,0.0
1980-12-16,0.08854820962317432,0.08854820962317432,0.0881120413541794,0.08811204135417938,105728000,0.0,0.0
1980-12-17,0.09029290825128554,0.09072908241133334,0.09029290825128554,0.09029290825128555,86441600,0.0,0.0
1980-12-18,0.09291074424982071,0.09334691269059968,0.09291074424982071,0.09291074424982071,73449600,0.0,0.0
1980-12-19,0.0985809713602066,0.09901714566142375,0.0985809713602066,0.0985809713602066,48630400,0.0,0.0
1980-12-22,0.10337883979082108,0.10381579438493957,0.10337883979082108,0.10337883979082108,37363200,0.0,0.0
1980-12-23,0.10774136334657669,0.10817753768624763,0.10774136334657669,0.10774136334657669,46950400,0.0,0.0
1980-12-24,0.1134115755558014,0.11384774982138735,0.1134115755558014,0.11341157555580139,48003200,0.0,0.0
1980-12-26,0.12388045340776443,0.12431662762040818,0.12388045340776443,0.12388045340776443,55574400,0.0,0.0
1980-12-29,0.1256251484155655,0.12606132266225248,0.1256251484155655,0.1256251484155655,93161600,0.0,0.0
1980-12-30,0.12300816010481608,0.12300816010481608,0.12257199734449388,0.12257199734449387,68880000,0.0,0.0
1980-12-31,0.11951879662663474,0.11951879662663474,0.11908262223005295,0.11908262223005295,35750400,0.0,0.0
1981-01-02,0.12039105594158171,0.12126340417078944,0.12039105594158171,0.12039105594158173,21660800,0.0,0.0
1981-01-05,0.11821023938296815,0.11821023938296815,0.11777407675981522,0.11777407675981522,35728000,0.0,0.0
1981-01-06,0.11297538362282523,0.11297538362282523,0.11253920942544937,0.11253920942544937,45158400,0.0,0.0
1981-01-07,0.10817753768624763,0.10817753768624763,0.10774136334657669,0.10774136334657669,55686400,0.0,0.0
1981-01-08,0.10599667402767832,0.10599667402767832,0.10556051135063171,0.10556051135063171,39827200,0.0,0.0
1981-01-09,0.11123069375753403,0.11166686793638717,0.11123069375753403,0.11123069375753403,21504000,0.0,0.0
1981-01-12,0.11123072418035314,0.11123072418035314,0.11035838723182678,0.11035838723182678,23699200,0.0,0.0
1981-01-13,0.10686899207626818,0.10686899207626818,0.10643281787633896,0.10643281787633896,23049600,0.0,0.0
1981-01-14,0.10686901956796646,0.10730519388010007,0.10686901956796646,0.10686901956796646,14291200,0.0,0.0
1981-01-15,0.10904986411333084,0.10992220096688941,0.10904986411333084,0.10904986411333084,14067200,0.0,0.0
1981-01-16,0.10861366468194375,0.10861366468194375,0.10817749053239822,0.10817749053239822,13395200,0.0,0.0
1981-01-19,0.11472008377313615,0.11515625802757576,0.11472008377313615,0.11472008377313614,41574400,0.0,0.0
1981-01-20,0.11166686793638717,0.11166686793638717,0.11123069375753403,0.11123069375753403,30083200,0.0,0.0
1981-01-21,0.1134115755558014,0.11428391243919736,0.1134115755558014,0.11341157555580139,15904000,0.0,0.0
1981-01-22,0.11472008377313615,0.11559243228201536,0.11472008377313615,0.11472008377313614,35548800,0.0,0.0
1981-01-23,0.11472006371024826,0.11515623788840727,0.11428388953208923,0.11428388953208923,11222400,0.0,0.0
1981-01-26,0.11297538362282523,0.11297538362282523,0.11253920942544937,0.11253920942544937,24640000,0.0,0.0
1981-01-27,0.112539239882807,0.112539239882807,0.11166690289974213,0.11166690289974213,23699200,0.0,0.0
1981-01-28,0.10861366468194375,0.10861366468194375,0.10817749053239822,0.10817749053239822,28156800,0.0,0.0
1981-01-29,0.10468814011109927,0.10468814011109927,0.10425196588039398,0.10425196588039398,43904000,0.0,0.0
1981-01-30,0.0994533199626409,0.0994533199626409,0.0985809713602066,0.0985809713602066,46188800,0.0,0.0
1981-02-02,0.09334691269059968,0.09334691269059968,0.09291074424982071,0.09291074424982071,23766400,0.0,0.0
1981-02-03,0.09640010446310043,0.09683627285588055,0.09640010446310043,0.09640010446310043,19152000,0.0,0.0
1981-02-04,0.09988944977521898,0.10032561223440174,0.09988944977521898,0.09988944977521896,27865600,0.0,0.0
1981-02-05,0.09988944977521898,0.1007617863413562,0.09988944977521898,0.09988944977521896,7929600,0.0,0.0
1981-02-06,0.10032561421394348,0.10076178832950418,0.10032561421394348,0.10032561421394348,13865600,0.0,0.0
1981-02-09,0.09596390885846745,0.09596390885846745,0.09509156644344331,0.0950915664434433,16755200,0.0,0.0
1981-02-10,0.09509156644344331,0.09552774056289838,0.09509156644344331,0.0950915664434433,18345600,0.0,0.0
1981-02-11,0.09247456142101497,0.09247456142101497,0.09203839302062988,0.09203839302062988,13843200,0.0,0.0
1981-02-12,0.09160219911059801,0.09160219911059801,0.09116524457931519,0.09116524457931519,14560000,0.0,0.0
1981-02-13,0.08985672750855384,0.08985672750855384,0.08898438513278961,0.08898438513278961,11155200,0.0,0.0
1981-02-17,0.09116524457931519,0.09160219911059801,0.09116524457931519,0.09116524457931519,12275200,0.0,0.0
1981-02-18,0.09509156644344331,0.09596390885846745,0.09509156644344331,0.0950915664434433,19241600,0.0,0.0
1981-02-19,0.08985673113954493,0.08985673113954493,0.08942055702209473,0.08942055702209473,22310400,0.0,0.0
1981-02-20,0.08505886277036001,0.08505886277036001,0.08462268859148026,0.08462268859148026,24371200,0.0,0.0
1981-02-23,0.0859312042593956,0.0863673784625331,0.0859312042593956,0.0859312042593956,14112000,0.0,0.0
1981-02-24,0.0837503510709318,0.0837503510709318,0.0828780084848404,0.0828780084848404,16979200,0.0,0.0
1981-02-25,0.0881120413541794,0.08854820962317432,0.0881120413541794,0.08811204135417938,19488000,0.0,0.0
1981-02-26,0.08942055702209473,0.08985673113954493,0.08942055702209473,0.08942055702209473,10841600,0.0,0.0
1981-02-27,0.09247458726167679,0.09334693013009773,0.09247458726167679,0.09247458726167679,14761600,0.0,0.0
1981-03-02,0.09291074424982071,0.09334691269059968,0.09291074424982071,0.09291074424982071,11760000,0.0,0.0
1981-03-03,0.09203839536671547,0.09203839536671547,0.09160222113132477,0.09160222113132477,16172800,0.0,0.0
1981-03-04,0.0911652709250305,0.0911652709250305,0.09072910249233246,0.09072910249233246,13708800,0.0,0.0
1981-03-05,0.09072908241133334,0.09072908241133334,0.09029290825128554,0.09029290825128555,5376000,0.0,0.0
1981-03-06,0.09029289943310914,0.09029289943310914,0.08942055702209473,0.08942055702209473,11603200,0.0,0.0
1981-03-09,0.08287801993807441,0.08287801993807441,0.08244185149669647,0.08244185149669647,15321600,0.0,0.0
1981-03-10,0.07895169060213443,0.07895169060213443,0.07851552218198776,0.07851552218198776,28380800,0.0,0.0
1981-03-11,0.0763346239260596,0.0763346239260596,0.07546228170394897,0.07546228170394897,29859200,0.0,0.0
1981-03-12,0.07851552218198776,0.07895169060213443,0.07851552218198776,0.07851552218198776,59248000,0.0,0.0
1981-03-13,0.07807933183239381,0.07807933183239381,0.07764316350221634,0.07764316350221634,231302400,0.0,0.0
1981-03-16,0.08069716393947601,0.08156950662294375,0.08069716393947601,0.08069716393947601,37228800,0.0,0.0
1981-03-17,0.08462268859148026,0.08549503112535295,0.08462268859148026,0.08462268859148026,43747200,0.0,0.0
1981-03-18,0.08985675126314165,0.0907290938695189,0.08985675126314165,0.08985675126314163,36937600,0.0,0.0
1981-03-19,0.08942055340872884,0.08942055340872884,0.08898438513278961,0.08898438513278961,37811200,0.0,0.0
1981-03-20,0.08985675126314165,0.0907290938695189,0.08985675126314165,0.08985675126314163,14604800,0.0,0.0
1981-03-23,0.09334689378738403,0.09421923631617617,0.09334689378738403,0.09334689378738403,22019200,0.0,0.0
1981-03-24,0.09334691269059968,0.09334691269059968,0.09291074424982071,0.09291074424982071,28156800,0.0,0.0
1981-03-25,0.09203837324113456,0.09203837324113456,0.09116524457931519,0.09116524457931519,7056000,0.0,0.0
1981-03-26,0.08985673113954493,0.08985673113954493,0.08942055702209473,0.08942055702209473,12275200,0.0,0.0
1981-03-27,0.08680352953985156,0.08680352953985156,0.08636736124753952,0.08636736124753952,12252800,0.0,0.0
1981-03-30,0.08636736124753952,0.08723970365604958,0.08636736124753952,0.08636736124753952,9900800,0.0,0.0
